"Town","FIPS","Year","Age Range","Measure Type","Variable","Value"
"Andover","0901301080",2010,"Total","Number","Drug Arrests",2
"Andover","0901301080",2010,"Total","Rate (per 10,000)","Drug Arrests",6.16
"Andover","0901301080",2010,"Total","Rate (per 10,000)","Margins of Error",0.26
"Andover","0901301080",2010,"10 years and over","Number","Drug Arrests",2
"Andover","0901301080",2010,"10 years and over","Rate (per 10,000)","Drug Arrests",6.95
"Andover","0901301080",2010,"10 years and over","Rate (per 10,000)","Margins of Error",0.88
"Andover","0901301080",2010,"10 to 17 years","Number","Drug Arrests",1
"Andover","0901301080",2010,"10 to 17 years","Rate (per 10,000)","Drug Arrests",26.32
"Andover","0901301080",2010,"10 to 17 years","Rate (per 10,000)","Margins of Error",6.72
"Andover","0901301080",2010,"18 to 24 years","Number","Drug Arrests",1
"Andover","0901301080",2010,"18 to 24 years","Rate (per 10,000)","Drug Arrests",57.47
"Andover","0901301080",2010,"18 to 24 years","Rate (per 10,000)","Margins of Error",48.03
"Andover","0901301080",2010,"18 years and over","Number","Drug Arrests",1
"Andover","0901301080",2010,"18 years and over","Rate (per 10,000)","Drug Arrests",4
"Andover","0901301080",2010,"18 years and over","Rate (per 10,000)","Margins of Error",0.56
"Andover","0901301080",2011,"Total","Number","Drug Arrests",3
"Andover","0901301080",2011,"Total","Rate (per 10,000)","Drug Arrests",9.55
"Andover","0901301080",2011,"Total","Rate (per 10,000)","Margins of Error",0.53
"Andover","0901301080",2011,"10 years and over","Number","Drug Arrests",3
"Andover","0901301080",2011,"10 years and over","Rate (per 10,000)","Drug Arrests",10.83
"Andover","0901301080",2011,"10 years and over","Rate (per 10,000)","Margins of Error",1.28
"Andover","0901301080",2011,"10 to 17 years","Number","Drug Arrests",2
"Andover","0901301080",2011,"10 to 17 years","Rate (per 10,000)","Drug Arrests",50.38
"Andover","0901301080",2011,"10 to 17 years","Rate (per 10,000)","Margins of Error",14.4
"Andover","0901301080",2011,"18 to 24 years","Number","Drug Arrests",1
"Andover","0901301080",2011,"18 to 24 years","Rate (per 10,000)","Drug Arrests",66.67
"Andover","0901301080",2011,"18 to 24 years","Rate (per 10,000)","Margins of Error",51.06
"Andover","0901301080",2011,"18 years and over","Number","Drug Arrests",1
"Andover","0901301080",2011,"18 years and over","Rate (per 10,000)","Drug Arrests",4.22
"Andover","0901301080",2011,"18 years and over","Rate (per 10,000)","Margins of Error",0.54
"Andover","0901301080",2012,"Total","Number","Drug Arrests",0
"Andover","0901301080",2012,"Total","Rate (per 10,000)","Drug Arrests",0
"Andover","0901301080",2012,"Total","Rate (per 10,000)","Margins of Error",0
"Andover","0901301080",2012,"10 years and over","Number","Drug Arrests",0
"Andover","0901301080",2012,"10 years and over","Rate (per 10,000)","Drug Arrests",0
"Andover","0901301080",2012,"10 years and over","Rate (per 10,000)","Margins of Error",0
"Andover","0901301080",2012,"10 to 17 years","Number","Drug Arrests",0
"Andover","0901301080",2012,"10 to 17 years","Rate (per 10,000)","Drug Arrests",0
"Andover","0901301080",2012,"10 to 17 years","Rate (per 10,000)","Margins of Error",0
"Andover","0901301080",2012,"18 to 24 years","Number","Drug Arrests",0
"Andover","0901301080",2012,"18 to 24 years","Rate (per 10,000)","Drug Arrests",0
"Andover","0901301080",2012,"18 to 24 years","Rate (per 10,000)","Margins of Error",0
"Andover","0901301080",2012,"18 years and over","Number","Drug Arrests",0
"Andover","0901301080",2012,"18 years and over","Rate (per 10,000)","Drug Arrests",0
"Andover","0901301080",2012,"18 years and over","Rate (per 10,000)","Margins of Error",0
"Andover","0901301080",2013,"Total","Number","Drug Arrests",0
"Andover","0901301080",2013,"Total","Rate (per 10,000)","Drug Arrests",0
"Andover","0901301080",2013,"Total","Rate (per 10,000)","Margins of Error",0
"Andover","0901301080",2013,"10 years and over","Number","Drug Arrests",0
"Andover","0901301080",2013,"10 years and over","Rate (per 10,000)","Drug Arrests",0
"Andover","0901301080",2013,"10 years and over","Rate (per 10,000)","Margins of Error",0
"Andover","0901301080",2013,"10 to 17 years","Number","Drug Arrests",0
"Andover","0901301080",2013,"10 to 17 years","Rate (per 10,000)","Drug Arrests",0
"Andover","0901301080",2013,"10 to 17 years","Rate (per 10,000)","Margins of Error",0
"Andover","0901301080",2013,"18 to 24 years","Number","Drug Arrests",0
"Andover","0901301080",2013,"18 to 24 years","Rate (per 10,000)","Drug Arrests",0
"Andover","0901301080",2013,"18 to 24 years","Rate (per 10,000)","Margins of Error",0
"Andover","0901301080",2013,"18 years and over","Number","Drug Arrests",0
"Andover","0901301080",2013,"18 years and over","Rate (per 10,000)","Drug Arrests",0
"Andover","0901301080",2013,"18 years and over","Rate (per 10,000)","Margins of Error",0
"Andover","0901301080",2014,"Total","Number","Drug Arrests",0
"Andover","0901301080",2014,"Total","Rate (per 10,000)","Drug Arrests",0
"Andover","0901301080",2014,"Total","Rate (per 10,000)","Margins of Error",0
"Andover","0901301080",2014,"10 years and over","Number","Drug Arrests",0
"Andover","0901301080",2014,"10 years and over","Rate (per 10,000)","Drug Arrests",0
"Andover","0901301080",2014,"10 years and over","Rate (per 10,000)","Margins of Error",0
"Andover","0901301080",2014,"10 to 17 years","Number","Drug Arrests",0
"Andover","0901301080",2014,"10 to 17 years","Rate (per 10,000)","Drug Arrests",0
"Andover","0901301080",2014,"10 to 17 years","Rate (per 10,000)","Margins of Error",0
"Andover","0901301080",2014,"18 to 24 years","Number","Drug Arrests",0
"Andover","0901301080",2014,"18 to 24 years","Rate (per 10,000)","Drug Arrests",0
"Andover","0901301080",2014,"18 to 24 years","Rate (per 10,000)","Margins of Error",0
"Andover","0901301080",2014,"18 years and over","Number","Drug Arrests",0
"Andover","0901301080",2014,"18 years and over","Rate (per 10,000)","Drug Arrests",0
"Andover","0901301080",2014,"18 years and over","Rate (per 10,000)","Margins of Error",0
"Andover","0901301080",2015,"Total","Number","Drug Arrests",1
"Andover","0901301080",2015,"Total","Rate (per 10,000)","Drug Arrests",3.11
"Andover","0901301080",2015,"Total","Rate (per 10,000)","Margins of Error",0.16
"Andover","0901301080",2015,"10 years and over","Number","Drug Arrests",1
"Andover","0901301080",2015,"10 years and over","Rate (per 10,000)","Drug Arrests",3.5
"Andover","0901301080",2015,"10 years and over","Rate (per 10,000)","Margins of Error",0.35
"Andover","0901301080",2015,"10 to 17 years","Number","Drug Arrests",0
"Andover","0901301080",2015,"10 to 17 years","Rate (per 10,000)","Drug Arrests",0
"Andover","0901301080",2015,"10 to 17 years","Rate (per 10,000)","Margins of Error",0
"Andover","0901301080",2015,"18 to 24 years","Number","Drug Arrests",0
"Andover","0901301080",2015,"18 to 24 years","Rate (per 10,000)","Drug Arrests",0
"Andover","0901301080",2015,"18 to 24 years","Rate (per 10,000)","Margins of Error",0
"Andover","0901301080",2015,"18 years and over","Number","Drug Arrests",1
"Andover","0901301080",2015,"18 years and over","Rate (per 10,000)","Drug Arrests",3.96
"Andover","0901301080",2015,"18 years and over","Rate (per 10,000)","Margins of Error",0.43
"Ansonia","0900901220",2010,"Total","Number","Drug Arrests",50
"Ansonia","0900901220",2010,"Total","Rate (per 10,000)","Drug Arrests",26.09
"Ansonia","0900901220",2010,"Total","Rate (per 10,000)","Margins of Error",0.06
"Ansonia","0900901220",2010,"10 years and over","Number","Drug Arrests",50
"Ansonia","0900901220",2010,"10 years and over","Rate (per 10,000)","Drug Arrests",29.48
"Ansonia","0900901220",2010,"10 years and over","Rate (per 10,000)","Margins of Error",1.56
"Ansonia","0900901220",2010,"10 to 17 years","Number","Drug Arrests",6
"Ansonia","0900901220",2010,"10 to 17 years","Rate (per 10,000)","Drug Arrests",25.7
"Ansonia","0900901220",2010,"10 to 17 years","Rate (per 10,000)","Margins of Error",4.16
"Ansonia","0900901220",2010,"18 to 24 years","Number","Drug Arrests",17
"Ansonia","0900901220",2010,"18 to 24 years","Rate (per 10,000)","Drug Arrests",102.04
"Ansonia","0900901220",2010,"18 to 24 years","Rate (per 10,000)","Margins of Error",22.7
"Ansonia","0900901220",2010,"18 years and over","Number","Drug Arrests",44
"Ansonia","0900901220",2010,"18 years and over","Rate (per 10,000)","Drug Arrests",30.09
"Ansonia","0900901220",2010,"18 years and over","Rate (per 10,000)","Margins of Error",1.67
"Ansonia","0900901220",2011,"Total","Number","Drug Arrests",86
"Ansonia","0900901220",2011,"Total","Rate (per 10,000)","Drug Arrests",44.81
"Ansonia","0900901220",2011,"Total","Rate (per 10,000)","Margins of Error",0.08
"Ansonia","0900901220",2011,"10 years and over","Number","Drug Arrests",86
"Ansonia","0900901220",2011,"10 years and over","Rate (per 10,000)","Drug Arrests",50.59
"Ansonia","0900901220",2011,"10 years and over","Rate (per 10,000)","Margins of Error",2.78
"Ansonia","0900901220",2011,"10 to 17 years","Number","Drug Arrests",4
"Ansonia","0900901220",2011,"10 to 17 years","Rate (per 10,000)","Drug Arrests",16.55
"Ansonia","0900901220",2011,"10 to 17 years","Rate (per 10,000)","Margins of Error",2.76
"Ansonia","0900901220",2011,"18 to 24 years","Number","Drug Arrests",36
"Ansonia","0900901220",2011,"18 to 24 years","Rate (per 10,000)","Drug Arrests",203.5
"Ansonia","0900901220",2011,"18 to 24 years","Rate (per 10,000)","Margins of Error",42.83
"Ansonia","0900901220",2011,"18 years and over","Number","Drug Arrests",82
"Ansonia","0900901220",2011,"18 years and over","Rate (per 10,000)","Drug Arrests",56.23
"Ansonia","0900901220",2011,"18 years and over","Rate (per 10,000)","Margins of Error",3.25
"Ansonia","0900901220",2012,"Total","Number","Drug Arrests",98
"Ansonia","0900901220",2012,"Total","Rate (per 10,000)","Drug Arrests",51.07
"Ansonia","0900901220",2012,"Total","Rate (per 10,000)","Margins of Error",0.09
"Ansonia","0900901220",2012,"10 years and over","Number","Drug Arrests",98
"Ansonia","0900901220",2012,"10 years and over","Rate (per 10,000)","Drug Arrests",58.07
"Ansonia","0900901220",2012,"10 years and over","Rate (per 10,000)","Margins of Error",3.32
"Ansonia","0900901220",2012,"10 to 17 years","Number","Drug Arrests",3
"Ansonia","0900901220",2012,"10 to 17 years","Rate (per 10,000)","Drug Arrests",13.57
"Ansonia","0900901220",2012,"10 to 17 years","Rate (per 10,000)","Margins of Error",2.31
"Ansonia","0900901220",2012,"18 to 24 years","Number","Drug Arrests",40
"Ansonia","0900901220",2012,"18 to 24 years","Rate (per 10,000)","Drug Arrests",219.3
"Ansonia","0900901220",2012,"18 to 24 years","Rate (per 10,000)","Margins of Error",49.61
"Ansonia","0900901220",2012,"18 years and over","Number","Drug Arrests",95
"Ansonia","0900901220",2012,"18 years and over","Rate (per 10,000)","Drug Arrests",64.78
"Ansonia","0900901220",2012,"18 years and over","Rate (per 10,000)","Margins of Error",3.92
"Ansonia","0900901220",2013,"Total","Number","Drug Arrests",113
"Ansonia","0900901220",2013,"Total","Rate (per 10,000)","Drug Arrests",58.97
"Ansonia","0900901220",2013,"Total","Rate (per 10,000)","Margins of Error",0.08
"Ansonia","0900901220",2013,"10 years and over","Number","Drug Arrests",113
"Ansonia","0900901220",2013,"10 years and over","Rate (per 10,000)","Drug Arrests",66.48
"Ansonia","0900901220",2013,"10 years and over","Rate (per 10,000)","Margins of Error",3.7
"Ansonia","0900901220",2013,"10 to 17 years","Number","Drug Arrests",2
"Ansonia","0900901220",2013,"10 to 17 years","Rate (per 10,000)","Drug Arrests",9.32
"Ansonia","0900901220",2013,"10 to 17 years","Rate (per 10,000)","Margins of Error",1.61
"Ansonia","0900901220",2013,"18 to 24 years","Number","Drug Arrests",35
"Ansonia","0900901220",2013,"18 to 24 years","Rate (per 10,000)","Drug Arrests",208.96
"Ansonia","0900901220",2013,"18 to 24 years","Rate (per 10,000)","Margins of Error",41.88
"Ansonia","0900901220",2013,"18 years and over","Number","Drug Arrests",111
"Ansonia","0900901220",2013,"18 years and over","Rate (per 10,000)","Drug Arrests",74.74
"Ansonia","0900901220",2013,"18 years and over","Rate (per 10,000)","Margins of Error",4.38
"Ansonia","0900901220",2014,"Total","Number","Drug Arrests",104
"Ansonia","0900901220",2014,"Total","Rate (per 10,000)","Drug Arrests",54.37
"Ansonia","0900901220",2014,"Total","Rate (per 10,000)","Margins of Error",0.09
"Ansonia","0900901220",2014,"10 years and over","Number","Drug Arrests",104
"Ansonia","0900901220",2014,"10 years and over","Rate (per 10,000)","Drug Arrests",61.05
"Ansonia","0900901220",2014,"10 years and over","Rate (per 10,000)","Margins of Error",3.39
"Ansonia","0900901220",2014,"10 to 17 years","Number","Drug Arrests",12
"Ansonia","0900901220",2014,"10 to 17 years","Rate (per 10,000)","Drug Arrests",53.07
"Ansonia","0900901220",2014,"10 to 17 years","Rate (per 10,000)","Margins of Error",9.09
"Ansonia","0900901220",2014,"18 to 24 years","Number","Drug Arrests",34
"Ansonia","0900901220",2014,"18 to 24 years","Rate (per 10,000)","Drug Arrests",213.43
"Ansonia","0900901220",2014,"18 to 24 years","Rate (per 10,000)","Margins of Error",42.43
"Ansonia","0900901220",2014,"18 years and over","Number","Drug Arrests",92
"Ansonia","0900901220",2014,"18 years and over","Rate (per 10,000)","Drug Arrests",62.27
"Ansonia","0900901220",2014,"18 years and over","Rate (per 10,000)","Margins of Error",3.64
"Ansonia","0900901220",2015,"Total","Number","Drug Arrests",64
"Ansonia","0900901220",2015,"Total","Rate (per 10,000)","Drug Arrests",33.62
"Ansonia","0900901220",2015,"Total","Rate (per 10,000)","Margins of Error",0.08
"Ansonia","0900901220",2015,"10 years and over","Number","Drug Arrests",64
"Ansonia","0900901220",2015,"10 years and over","Rate (per 10,000)","Drug Arrests",37.72
"Ansonia","0900901220",2015,"10 years and over","Rate (per 10,000)","Margins of Error",2.01
"Ansonia","0900901220",2015,"10 to 17 years","Number","Drug Arrests",2
"Ansonia","0900901220",2015,"10 to 17 years","Rate (per 10,000)","Drug Arrests",8.59
"Ansonia","0900901220",2015,"10 to 17 years","Rate (per 10,000)","Margins of Error",1.4
"Ansonia","0900901220",2015,"18 to 24 years","Number","Drug Arrests",19
"Ansonia","0900901220",2015,"18 to 24 years","Rate (per 10,000)","Drug Arrests",106.68
"Ansonia","0900901220",2015,"18 to 24 years","Rate (per 10,000)","Margins of Error",19.88
"Ansonia","0900901220",2015,"18 years and over","Number","Drug Arrests",62
"Ansonia","0900901220",2015,"18 years and over","Rate (per 10,000)","Drug Arrests",42.36
"Ansonia","0900901220",2015,"18 years and over","Rate (per 10,000)","Margins of Error",2.38
"Ashford","0901501430",2010,"Total","Number","Drug Arrests",2
"Ashford","0901501430",2010,"Total","Rate (per 10,000)","Drug Arrests",4.63
"Ashford","0901501430",2010,"Total","Rate (per 10,000)","Margins of Error",0.03
"Ashford","0901501430",2010,"10 years and over","Number","Drug Arrests",2
"Ashford","0901501430",2010,"10 years and over","Rate (per 10,000)","Drug Arrests",5.26
"Ashford","0901501430",2010,"10 years and over","Rate (per 10,000)","Margins of Error",0.48
"Ashford","0901501430",2010,"10 to 17 years","Number","Drug Arrests",0
"Ashford","0901501430",2010,"10 to 17 years","Rate (per 10,000)","Drug Arrests",0
"Ashford","0901501430",2010,"10 to 17 years","Rate (per 10,000)","Margins of Error",0
"Ashford","0901501430",2010,"18 to 24 years","Number","Drug Arrests",0
"Ashford","0901501430",2010,"18 to 24 years","Rate (per 10,000)","Drug Arrests",0
"Ashford","0901501430",2010,"18 to 24 years","Rate (per 10,000)","Margins of Error",0
